id,reason,timestamp,postal_code
31901,6,2004-12-11 05:30:48,2222
68496,2,2012-10-04 11:47:40,1028
62103,5,2012-01-06 13:42:35,2304
79834,8,1998-12-27 08:31:27,2314
4864,8,2004-09-09 11:44:42,1021
29797,3,2019-07-04 12:04:51,2350
10824,8,2016-01-21 08:26:29,2120
36027,6,1992-04-15 03:46:47,1076
18338,3,2012-12-26 17:28:08,2030
77932,8,2015-12-07 18:09:02,2036
45597,5,2019-05-08 12:05:40,2400
44075,1,1992-06-06 01:33:39,2038
6210,5,2000-03-08 20:36:32,1045
56033,6,1992-06-05 00:57:16,2036
9940,4,2010-11-26 09:47:16,2222
5752,5,2010-09-30 23:44:34,2306
66293,5,2002-05-11 18:23:14,2414
57997,1,1994-10-07 02:24:52,2368
12230,8,2008-02-25 01:45:17,1040
12794,4,2010-02-09 14:16:45,1016
58453,7,2008-03-13 10:47:03,2113
12456,1,2016-01-09 18:16:03,1087
52136,1,2020-03-10 14:08:35,1066
69576,8,2018-09-01 15:39:31,1036
94019,4,2016-01-12 05:39:30,2066
44276,1,1993-12-05 02:03:06,2237
80036,3,1995-05-07 23:29:21,2404
75913,6,2000-07-28 02:21:11,2031
80629,2,2014-09-03 03:23:20,1065
69673,4,1992-07-08 05:35:20,2222
74007,3,2009-04-06 05:07:32,2305
31374,8,1991-08-23 13:36:59,2363
42710,8,1996-07-02 01:19:16,2028
73361,3,2011-11-20 13:24:18,2300
15682,1,2007-10-04 11:46:18,2404
76730,8,2009-04-22 01:11:29,1086
39392,4,2009-04-15 21:35:59,1055
72602,5,1993-06-15 20:31:31,2113
76037,4,1992-10-17 23:16:32,2021
94500,4,2000-03-28 02:38:44,1101
27083,6,2005-08-13 00:54:09,2417
43823,8,1993-06-17 09:24:51,2313
59672,6,1997-02-14 03:23:14,1082
56199,4,2019-01-11 03:54:04,1096
71992,5,2004-07-13 06:58:36,2408
86150,1,2006-09-18 07:03:22,2100
25923,3,2004-01-15 10:32:03,2363
67557,7,2012-03-16 17:03:01,2062
15157,8,2000-03-04 15:25:19,2013
22090,7,2017-02-23 06:09:24,2402
35078,7,2018-12-02 08:16:11,1041
19736,2,2007-01-31 10:14:23,1010
90483,7,2013-04-01 08:38:26,2334
70825,8,2009-04-13 16:42:41,2323
68765,3,2006-03-08 04:46:24,2015
4555,7,2014-11-24 08:57:53,1102
49349,6,1997-09-04 22:20:29,2060
88940,7,2003-10-08 09:14:29,2002
6275,2,2010-10-12 06:49:06,2040
6488,8,2009-04-03 22:03:58,1061
5224,6,2014-09-09 23:24:25,1015
95260,3,2003-03-01 00:36:29,2232
38886,5,1991-05-03 02:13:36,2054
87213,7,2016-06-06 06:27:48,1045
48649,4,2006-09-25 10:46:29,2415
96968,4,2018-09-15 15:52:04,2046
58922,7,1990-04-21 07:49:47,2233
20227,2,2013-09-15 10:10:24,2231
48955,5,1996-10-12 04:21:02,2012
71727,5,1991-04-03 10:44:16,2062
99160,1,2007-06-01 21:17:29,1097
40693,1,2004-08-25 21:11:44,2029
82519,2,2005-08-05 18:16:35,2101
37421,6,1994-06-17 17:49:25,1090
31306,2,1996-03-19 22:46:10,2223
73108,7,1990-09-24 07:39:13,1065
32558,3,1995-02-03 13:27:48,2028
54252,2,2018-07-25 13:07:33,2402
86359,4,2010-12-13 12:28:19,2036
45337,1,1997-05-04 08:26:36,2222
94589,6,2002-07-15 15:21:42,2029
99683,4,2002-02-28 13:21:01,2360
75198,5,2019-11-07 23:09:20,1096
20016,4,2015-08-14 19:10:55,2121
77167,4,2011-08-10 00:00:48,2310
8134,3,1992-02-02 01:07:27,2014
68374,2,2002-05-15 21:51:18,2304
85401,4,2018-05-18 01:20:23,2323
32057,1,2015-04-17 20:55:17,2237
53857,8,2014-04-12 19:16:06,2113
8779,2,2006-11-02 20:15:11,2060
40511,7,2001-01-18 22:01:43,2325
87035,2,1992-02-16 18:06:37,1101
90970,1,2013-05-15 17:41:39,2406
38722,5,2018-03-10 03:26:30,2013
12975,8,2016-10-23 04:18:27,1100
30120,5,2000-02-07 20:51:10,2011
92916,5,2013-07-08 09:37:46,2122
27958,4,1990-07-06 16:33:41,2369
54785,5,2003-08-21 08:20:41,2236
27439,1,2016-09-23 13:29:30,2409
35805,5,1996-06-08 10:26:16,2232
75491,5,2018-05-23 19:20:27,1049
77254,3,1996-01-09 09:46:36,2230
69157,2,1998-05-23 04:35:15,2044
30470,7,2017-08-17 12:21:37,2030
82977,3,2012-04-18 11:05:21,2046
12888,8,2010-09-08 23:14:49,2040
51699,5,2013-05-04 04:31:08,1041
33641,4,1998-05-26 09:55:55,1075
96432,7,2007-09-20 15:35:23,1046
91179,6,1990-12-23 13:49:51,2057
98284,7,2003-03-23 00:47:01,2361
79258,4,1990-11-29 18:35:10,2045
28854,6,2017-05-18 04:10:57,1046
9392,7,2012-02-20 09:45:07,2046
94592,6,2013-04-14 16:58:26,1015
52995,3,1997-07-14 00:23:42,2406
95430,7,1991-05-09 04:59:14,2018
16201,6,2001-05-27 23:09:11,2331
48363,1,1996-02-16 14:25:36,1017
8220,8,2009-11-03 08:58:14,2310
28150,6,2015-09-04 16:35:33,2231
37644,3,1995-07-23 12:51:29,2410
58868,1,2012-02-04 02:14:12,2404
68835,5,2007-10-22 20:12:44,2012
46280,2,2002-04-20 11:45:04,2406
68081,4,2019-03-15 03:30:06,2325
2368,4,1998-09-24 11:22:17,1075
67594,8,1994-07-11 15:01:09,1037
97015,2,2001-11-13 12:21:38,2300
78530,2,2005-03-15 01:07:58,2122
22124,2,2003-11-24 19:14:53,2231
69712,1,1999-05-16 13:46:52,2200
48793,6,2007-06-19 10:46:50,2306
51046,5,2013-01-28 07:43:43,2412
9066,8,1992-07-01 08:46:02,1015
39751,5,2017-01-14 19:37:51,2036
19404,3,1992-10-29 08:00:19,1082
15476,1,2007-11-15 00:59:27,2238
20922,4,2009-03-13 12:37:55,2120
64751,4,2018-05-02 22:42:27,2001
42101,7,2012-12-28 02:03:28,2027
29281,8,2005-01-10 02:21:22,2034
34529,6,1994-05-13 18:30:15,2310
34298,4,1992-12-08 09:19:48,2411
12328,8,2000-03-28 06:25:31,1020
53845,7,1996-03-29 13:09:07,2238
56667,6,1993-02-07 02:57:07,2333
22228,2,2015-01-16 19:06:13,2200
37527,3,2018-07-15 07:49:40,1015
24691,7,2004-04-08 12:49:32,2328
1720,1,2017-03-28 00:29:34,2201
77970,7,2009-08-19 03:42:00,2201
71526,7,1993-06-16 16:02:20,2019
75783,8,1996-02-18 10:06:52,2040
58747,2,1994-11-26 20:29:46,1027
3537,4,1997-11-15 23:53:51,2300
86840,2,2007-12-20 11:52:29,1097
94731,8,2019-09-06 08:48:51,2100
44795,2,2011-10-14 10:07:54,2237
73328,7,2003-01-10 00:24:08,2042
49438,4,2009-01-22 16:07:52,2326
30001,4,2007-06-12 03:29:24,2108
69448,1,1998-08-17 20:40:44,2059
47009,6,2008-01-05 18:19:30,1010
62611,3,1992-09-18 08:19:05,2411
1230,3,2004-10-04 07:59:45,1011
71893,3,2018-03-25 09:20:27,2303
77936,1,2002-04-13 15:35:45,2335
6829,7,2004-11-21 19:40:35,2324
10823,7,2018-02-23 22:04:18,2407
3035,6,1995-06-24 10:34:26,1057
18717,4,2012-02-29 15:31:01,2224
54882,5,1994-09-17 11:30:07,2312
97945,5,1997-03-02 05:19:22,2103
59925,8,2012-07-21 18:15:49,2417
67027,2,1999-11-24 17:27:11,2406
30978,1,2017-12-05 15:11:56,2324
41203,8,1998-11-15 10:46:17,2363
5616,5,2014-12-26 02:23:39,2109
36753,3,1999-08-16 08:05:20,2015
63511,8,1990-11-12 09:19:06,1105
81344,2,2001-12-28 09:26:59,2060
36072,6,2009-05-25 00:08:31,2364
31880,2,2016-06-28 09:42:48,2039
65011,5,2004-07-24 06:21:08,2100
37212,4,1999-05-19 10:10:28,2334
78628,8,1991-08-29 11:42:19,2368
79131,7,1997-02-02 14:35:28,1107
77504,8,1990-12-31 05:34:12,2051
4614,6,2015-10-23 02:20:19,2116
47552,4,1999-07-18 13:48:29,2362
64060,6,2010-05-07 13:40:57,2031
26250,4,2019-08-10 16:33:46,1047
87384,1,1994-09-13 09:19:17,2050
50856,2,2016-02-06 07:03:39,2313
65304,8,2018-06-13 13:53:38,2325
51266,5,1990-05-15 05:42:15,2058
5164,4,2011-10-15 00:47:48,2364
58836,3,2012-09-21 06:40:23,2370
14583,6,2006-12-13 06:15:01,2360
93959,3,1996-10-23 22:36:49,2031
2814,1,2013-10-12 18:28:47,2021
19369,1,1996-12-31 06:09:24,2416
64285,7,1991-12-21 12:42:36,2020
60938,5,1998-09-02 13:53:27,2332
65224,1,1995-03-22 12:59:36,2049
80211,5,2012-11-09 23:12:51,2331
8060,7,2018-04-27 05:03:41,2028
87905,1,2011-12-30 01:34:47,1010
8769,3,2013-04-17 09:59:14,2365
46047,7,2002-11-25 20:10:44,2021
17280,5,2015-05-10 23:11:12,1107
15667,7,2000-12-04 15:03:50,1048
65216,4,1993-06-05 04:06:19,2048
54408,4,2006-08-06 19:08:42,1027
13337,4,2018-05-30 18:24:16,2054
91306,4,2005-05-31 13:38:49,2235
74577,3,2007-01-03 05:49:27,1027
25413,3,2018-03-03 06:16:23,1101
62006,7,1998-10-20 12:15:30,2121
15239,1,2012-08-03 15:00:29,2040
59567,1,2001-09-25 22:42:12,2334
69089,6,2019-12-29 02:48:03,2415
14590,4,1997-12-09 17:59:41,2237
41693,7,2008-04-01 04:06:06,2007
71673,1,2005-10-28 21:18:20,2021
52644,4,1996-09-09 09:42:41,2027
59078,8,2014-11-20 12:29:03,2014
52788,3,2016-01-24 16:44:45,1066
95717,1,1999-04-07 13:40:22,2314
75091,5,2016-12-05 13:20:38,1085
12876,3,2002-08-29 02:16:19,2363
61392,3,2003-04-10 01:01:47,1082
64084,6,1994-03-23 12:39:46,1101
11038,3,2002-11-04 15:53:32,2021
16531,6,1993-10-29 01:02:06,1017
9147,8,2009-05-13 06:07:32,2364
62986,1,2008-05-09 07:47:31,1060
50185,8,1991-01-23 23:17:14,2406
35202,3,2019-04-23 02:46:31,2054
38930,6,2001-05-12 02:05:23,2300
30522,5,2003-02-16 21:34:59,2018
41661,1,2009-07-14 03:01:35,2238
76588,3,1991-03-13 11:44:35,1087
56760,2,2018-03-13 19:12:39,1055
33222,6,2011-10-03 19:28:07,2222
55589,7,2001-03-09 08:29:16,2036
95951,7,2007-10-12 11:08:22,2303
35225,5,2019-10-24 07:49:49,2365
8845,1,1993-04-17 21:52:16,2222
71842,5,1999-04-10 01:55:23,1107
1316,8,2002-11-17 14:58:12,1047
4226,1,2014-07-04 10:13:18,2036
88354,8,2016-11-09 19:40:41,2230
24320,8,2011-12-09 15:19:49,1015
71702,8,2006-10-30 16:42:08,2414
75559,8,2004-01-13 08:41:44,2369
35180,6,1997-08-02 22:17:21,2052
97826,2,2007-06-20 18:17:40,2013
44602,8,2013-09-15 14:30:24,2050
53724,4,1992-08-22 09:15:05,2014
22537,8,2016-03-11 12:47:54,1027
25389,7,1996-03-31 14:26:20,1096
82292,2,1990-05-06 15:15:48,2370
42558,5,2011-12-01 05:34:45,2032
38861,7,2015-06-30 18:24:42,1041
